Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
56a724644b1ad9cb03745c10cca732715cdc79e9,fix f-string syntax error in code generation,['48b0687e05a5466a91cd5812d604fa37ad0943b4'],False,"['CHANGES.rst', 'src\\jinja2\\compiler.py', 'tests\\test_compile.py']"
767b23617628419ae3709ccfb02f9602ae9fe51f,fix f-string syntax error in code generation (#1852),"['48b0687e05a5466a91cd5812d604fa37ad0943b4', '56a724644b1ad9cb03745c10cca732715cdc79e9']",True,[]
b4b28ec01c60b8753ab53fe60b10d7dbaa55842b,fix default for `Environment.overlay(enable_async)` (#2061),"['767b23617628419ae3709ccfb02f9602ae9fe51f', 'e45bc745a76b7aa573e68888bf49ecef70001815']",True,[]
ed5f76206aa0a1e86ef087a18bc69643b484f029,FileSystemLoader includes search paths in error,['b4b28ec01c60b8753ab53fe60b10d7dbaa55842b'],False,"['CHANGES.rst', 'src\\jinja2\\loaders.py']"
58a358f0928df381c003be244b930367c68dbb85,`FileSystemLoader` include paths in error (#1663),"['b4b28ec01c60b8753ab53fe60b10d7dbaa55842b', '227edfd372f174fdae1ff74972de6a532af6c76e']",True,[]
f54fa113d38230cd7a8e8de1a8ced0f24e344a4e,"Improve the PackageLoader error message

This exception is raised when the `package_path` directory (default ""templates"") is not
found, so explain this.",['58a358f0928df381c003be244b930367c68dbb85'],False,['src\\jinja2\\loaders.py']
53c75915c929eeb8582e70fdee9fc262f5c4ae58,Improve the PackageLoader error message (#1706),"['58a358f0928df381c003be244b930367c68dbb85', 'aaa083d265307f44f00b010acec61b6eb8e3c3a7']",True,[]
ee832194cd9f55f75e5a51359b709d535efe957f,"Add support for namespaces in tuple assignment

This fixes a bug that existed because namespaces within `{% set %}`
were treated as a special case. This special case had the side-effect
of bypassing the code which allows for tuples to be assigned to.

The solution was to make tuple handling (and by extension, primary token
handling) aware of namespaces so that namespace tokens can be handled
appropriately. This is handled in a backwards-compatible way which
ensures that we do not try to parse namespace tokens when we otherwise
would be expecting to parse out name tokens with attributes.

Namespace instance checks are moved earlier, and deduplicated, so that
all checks are done before the assignment. Otherwise, the check could be
emitted in the middle of the tuple.",['1d55cddbb28e433779511f28f13a2d8c4ec45826'],False,"['CHANGES.rst', 'docs\\templates.rst', 'src\\jinja2\\compiler.py', 'src\\jinja2\\parser.py', 'tests\\test_core_tags.py']"
66587ce989e5a478e0bb165371fa2b9d42b7040f,"Fix bug where set would sometimes fail within if

There was a bug that came as the result of an early optimization done
within ID tracking that caused loading parameters to fail in a very
specific and rare edge case. That edge case only occurred when the
parameter was being set within all 3 standard branches of an if block,
since the optimization would assume that the parameter was never being
referenced and was only ever being set. This would cause the variable to
be set to undefined.

The fix for this was to remove the optimization and still continue to
load in the parameter even if it is set in all 3 branches.",['fbc3a696c729d177340cc089531de7e2e5b6f065'],False,"['CHANGES.rst', 'src\\jinja2\\idtracking.py', 'tests\\test_regression.py']"
c8fdce1e0333f1122b244b03a48535fdd7b03d91,Fix bug involving calling set on a template parameter within all branches of an if block (#1665),"['fbc3a696c729d177340cc089531de7e2e5b6f065', '66587ce989e5a478e0bb165371fa2b9d42b7040f']",True,[]
a3dce7bb64c90adf3d5acd83c7a6b21f2d29a0b0,fix type/lint/format findings,['51dbd8977e876b2aa6d622ef75147973a8cc454c'],False,"['src\\jinja2\\async_utils.py', 'src\\jinja2\\compiler.py', 'src\\jinja2\\debug.py', 'src\\jinja2\\defaults.py', 'src\\jinja2\\environment.py', 'src\\jinja2\\ext.py', 'src\\jinja2\\filters.py', 'src\\jinja2\\idtracking.py', 'src\\jinja2\\lexer.py', 'src\\jinja2\\loaders.py', 'src\\jinja2\\meta.py', 'src\\jinja2\\nodes.py', 'src\\jinja2\\parser.py', 'src\\jinja2\\runtime.py', 'src\\jinja2\\sandbox.py', 'src\\jinja2\\utils.py', 'src\\jinja2\\visitor.py', 'tests\\test_async.py', 'tests\\test_core_tags.py', 'tests\\test_debug.py', 'tests\\test_ext.py', 'tests\\test_filters.py', 'tests\\test_lexnparse.py']"
ece7c271f3c5df13eb43da3badd6f069e0542f55,fix ruff pyupgrade findings,['0cc6ff9051d6fe527e0d386c775f032ed51032c0'],False,"['src\\jinja2\\async_utils.py', 'src\\jinja2\\bccache.py', 'src\\jinja2\\compiler.py', 'src\\jinja2\\debug.py', 'src\\jinja2\\defaults.py', 'src\\jinja2\\environment.py', 'src\\jinja2\\exceptions.py', 'src\\jinja2\\ext.py', 'src\\jinja2\\filters.py', 'src\\jinja2\\idtracking.py', 'src\\jinja2\\lexer.py', 'src\\jinja2\\loaders.py', 'src\\jinja2\\meta.py', 'src\\jinja2\\nativetypes.py', 'src\\jinja2\\nodes.py', 'src\\jinja2\\optimizer.py', 'src\\jinja2\\parser.py', 'src\\jinja2\\runtime.py', 'src\\jinja2\\sandbox.py', 'src\\jinja2\\utils.py', 'src\\jinja2\\visitor.py']"
9c11dd65ff93e141560f0e1c7a7c590eef4ee1cc,fix typo,['9e49736ae075fcffb85f731a3fe2c006cf1edca4'],False,['src\\jinja2\\__init__.py']
